,,Very Low,Low,Medium,High,Very High
Deepcrime,MAE,0.75,0.76,0.86,1.2,2.18
,RMSE,0.91,0.97,1.15,1.84,3.65
AIST,MAE,0.11,0.17,0.24,0.56,0.63
,RMSE,0.36,0.47,0.57,0.87,1.15
MIST,MAE,0.91,0.87,0.7,0.69,0.67
,RMSE,0.95,0.93,0.84,0.83,0.82
ST-HSL,MAE,1.01,1.01,1.01,1.01,1.01
,RMSE,1.02,1.03,1.03,1.05,1.06
ST-SHN,MAE,1,0.83,0.71,0.63,0.66
,RMSE,1.18,2.04,1.08,0.93,0.91
Crimeforecaster,MAE,0.57,0.56,0.54,0.53,0.52
,RMSE,0.65,0.65,0.62,0.6,0.58
HAGEN,MAE,0.46,0.5,0.5,0.5,0.5
,RMSE,0.52,0.54,0.55,0.54,0.55
