,,4h,6h,12h,24h
Deepcrime,MAE,0.8837193802132824,0.9300933441558441,0.9169552669552671,0.911887306242145
,RMSE,0.8687178294266709,0.9071826899951901,0.8940446127946129,0.8771960349743909
Hagen,MAE,0.5009801817582302,0.4902416717369514,0.5003392309337468,0.49276076641682626
,RMSE,0.5310710184484903,0.5259301256376506,0.5391827605337398,0.541235459245838
AIST,MAE,0.3427668605,-1.0,-1.0,1.4280175
,RMSE,0.6703616295,-1.0,-1.0,1.8343412998020536
ST-HSL,MAE,-1.0,-1.0,1.0150209717089658,1.009190547784648
,RMSE,-1.0,-1.0,1.034345199833482,1.0366013343063987
CF,MAE,0.5866348443622579,0.534540857264949,0.5506886091754418,0.5426696750108805
,RMSE,0.7096650017600953,0.653659509576463,0.6361939080392376,0.6176846611267021
MIST,MAE,-1.0,-1.0,0.36868864606467916,0.7585646701935344
,RMSE,-1.0,-1.0,0.5699337499901038,0.8664887274798725
