,,Very Low,Low,Medium,High,Very High
Deepcrime,MAE,0.0016910156249999924,0.002197500000000003,0.009735027777777763,0.1263944444444444,0.6016677267573693
,RMSE,0.003729488724807823,0.008054559558786529,0.039753162404670084,0.333699876421075,1.2024442881489465
CrimeForecaster,MAE,5.753623831922934e-05,0.00022098339494444613,0.0008008642089837898,0.0007510022554580455,3.3466585631014014e-05
,RMSE,0.0001723432347861732,0.0003218309418685194,0.0011571898666837652,0.0007358556083781433,5.827393182392065e-05
HAGEN,MAE,0.03392163653482649,5.799047131936386e-05,1.8109195373661858e-05,5.9621862504034025e-05,2.9476991630705497e-05
,RMSE,0.015181596819145247,4.822255895738872e-05,2.9932511998217017e-05,3.252806123948383e-05,2.5322126223017982e-05
STSHN,MAE,0.0,0.39296937981981617,0.01006498014909573,0.06624077115591728,0.0027814888090980103
,RMSE,0.0,2.5113864664366616,0.038382673898151524,0.21865489127485352,0.010336971418013832
STHSL,MAE,8.897750988771942e-06,6.377969812798335e-05,8.127779393306975e-05,3.963620115101592e-05,0.00027546734669488363
,RMSE,5.6458395935776956e-05,0.0002153377913997387,0.00020058775574319622,6.851789997907569e-05,0.0001649105375469031
MIST,MAE,0.0018615858556137212,0.001084858456281698,0.008030074801611511,0.008521539634066275,0.004511638883961987
,RMSE,0.0005352516840643595,0.0003199864319253326,0.0028762683867342097,0.003209967175868764,0.001663697001788035
AIST,MAE,0.001165663843943041,0.0051033893725724285,0.007548193188117958,0.03510183327577013,0.07204724141837636
,RMSE,0.0027740202107267276,0.01719482228186394,0.016638699957722526,0.06310189215065151,0.11231513008984761
