		Very Low	Low	Medium	High	Very High
Deepcrime	MAE	1.69E-03	2.20E-03	9.74E-03	1.26E-01	6.02E-01
	RMSE	3.73E-03	8.05E-03	3.98E-02	3.34E-01	1.20E+00
CrimeForecaster	MAE	6.00E-05	2.20E-04	8.00E-04	7.50E-04	3.00E-05
	RMSE	1.70E-04	3.20E-04	1.16E-03	7.40E-04	6.00E-05
HAGEN	MAE	3.39E-02	6.00E-05	2.00E-05	6.00E-05	3.00E-05
	RMSE	1.52E-02	5.00E-05	3.00E-05	3.00E-05	3.00E-05
STSHN	MAE	0.00E+00	3.93E-01	1.01E-02	6.62E-02	2.78E-03
	RMSE	0.00E+00	2.51E+00	3.84E-02	2.19E-01	1.03E-02
STHSL	MAE	1.00E-05	6.00E-05	8.00E-05	4.00E-05	2.80E-04
	RMSE	6.00E-05	2.20E-04	2.00E-04	7.00E-05	1.60E-04
MIST	MAE	1.86E-03	1.08E-03	8.03E-03	8.52E-03	4.51E-03
	RMSE	5.40E-04	3.20E-04	2.88E-03	3.21E-03	1.66E-03
AIST	MAE	1.17E-03	5.10E-03	7.55E-03	3.51E-02	7.21E-02
	RMSE	2.77E-03	1.72E-02	1.66E-02	6.31E-02	1.12E-01
