,sr_number,sr_type,sr_short_code,created_department,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,electricity_grid,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,parent_sr_number
0,SR19-03236902,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:44:56.000,2020-01-01T00:30:27.000,2019-12-31T23:44:56.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
1,SR19-03236901,Street Light Out Complaint,SFD,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,2019-12-31T23:44:26.000,2020-01-03T08:17:20.000,2020-01-03T08:17:20.000,7900 S RHODES AVE,,,60619.0,7900,S,RHODES,AVE,True,False,44,6,R041,2,6,624,44,23,3,12,1181264.565768,1852714.410845,41.751096723,-87.611330934,"{'latitude': '41.75109672314141', 'longitude': '-87.61133093384052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",61,40,21546,11.0,32,SR19-03229741
2,SR19-03236900,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:42:12.000,2020-01-01T00:30:27.000,2019-12-31T23:42:12.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
3,SR19-03236899,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,2019-12-31T23:40:38.000,2020-01-01T00:30:47.000,2019-12-31T23:40:38.000,10510 W ZEMKE RD,Chicago,IL,60666.0,10510,W,ZEMKE,RD,False,False,76,41,,5,16,1654,27,23,3,12,1105376.188336,1941042.52737,41.994896549,-87.887751654,"{'latitude': '41.9948965489749', 'longitude': '-87.8877516541201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,75,16197,668.0,29,
4,SR19-03236898,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:39:39.000,2020-01-01T00:30:47.000,2019-12-31T23:39:39.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
5,SR19-03236897,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:38:41.000,2020-01-01T00:30:47.000,2019-12-31T23:38:41.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
6,SR19-03236896,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:38:39.000,2020-01-01T00:30:27.000,2019-12-31T23:38:39.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
7,SR19-03236895,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:37:53.000,2020-01-01T00:30:27.000,2019-12-31T23:37:53.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
8,SR19-03236894,311 INFORMATION ONLY CALL,311IOC,311 City Services,311 City Services,Completed,Phone Call,2019-12-31T23:36:29.000,2020-01-01T00:30:27.000,2019-12-31T23:36:29.000,2111 W Lexington ST,Chicago,Illinois,60612.0,2111,W,Lexington,ST,False,False,28,28,K024,2,12,1225,46,23,3,12,1162234.142489,1896559.966858,41.871831278,-87.679846219,"{'latitude': '41.871831277993564', 'longitude': '-87.67984621876099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,29,21184,5.0,23,
9,SR19-03236892,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Mobile Device,2019-12-31T23:33:49.000,2020-01-03T09:06:03.000,2020-01-03T09:06:03.000,2511 W 56TH ST,,,60629.0,2511,W,56TH,ST,False,False,63,15,J035,2,8,824,16,23,3,12,1160514.258417,1867441.707639,41.791963206,-87.686965006,"{'latitude': '41.79196320586604', 'longitude': '-87.68696500571896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",58,61,21867,112.0,3,
